The Midnight Library - Matt Haig
One Hundred Years of Solitude - Gabriel García Márquez
The Name of the Wind - Patrick Rothfuss
Project Hail Mary - Andy Weir
Dune - Frank Herbert
The Shadow of the Wind - Carlos Ruiz Zafón
A Little Life - Hanya Yanagihara
The Hitchhiker's Guide to the Galaxy - Douglas Adams
Normal People - Sally Rooney
The Remains of the Day - Kazuo Ishiguro
Piranesi - Susanna Clarke
The Count of Monte Cristo - Alexandre Dumas
Educated - Tara Westover
The Alchemist - Paulo Coelho
Flowers for Algernon - Daniel Keyes
The Road - Cormac McCarthy
Never Let Me Go - Kazuo Ishiguro
Circe - Madeline Miller
The Kite Runner - Khaled Hosseini
Sapiens - Yuval Noah Harari
The Brothers Karamazov - Fyodor Dostoevsky
Brave New World - Aldous Huxley
The Picture of Dorian Gray - Oscar Wilde
Crime and Punishment - Fyodor Dostoevsky
The Great Gatsby - F. Scott Fitzgerald
To Kill a Mockingbird - Harper Lee
1984 - George Orwell
Beloved - Toni Morrison
The Handmaid's Tale - Margaret Atwood
Slaughterhouse-Five - Kurt Vonnegut
